show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s20,Movie,The Negotiator : Rising,Francis Ford Coppola,"Florence Pugh, Denzel Washington, Shah Rukh Khan",Turkey,"January 9, 2022",2017,TV-MA,70 min,"Independent Movies, Dramas","When a sudden revelation shakes the foundations of their life, a single father in the Arctic discovers that old enemies resurface. A heart-wrenching journey of identity and resilience."
s21,Movie,The Rising Sun : Legacy,James Cameron,"Steven Yeun, Tom Hanks, Lupita Nyong'o",France,"April 5, 2020",2014,NR,156 min,"Action & Adventure, International Movies",A journalist navigates the dangerous underbelly of small-town America in this visually stunning thriller where the stakes become personal and survival demands everything.
s22,Movie,The Last Witness,Alfonso Cuarón,"Tilda Swinton, Meryl Streep, Leonardo DiCaprio",South Korea,"May 3, 2021",2011,PG,81 min,"Music & Musicals, Dramas","In the heart of Los Angeles, a single father uncovers a dangerous secret that pulls them into a world of espionage. A thought-provoking tale of revenge and survival."
s23,Movie,Loose Ends Unleashed,Park Chan-wook,"Cate Blanchett, Steven Yeun, Natalie Portman",Turkey,"December 21, 2017",1996,PG,124 min,"Horror Movies, Thrillers","In the heart of rural France, a teacher uncovers a dangerous secret that pulls them into a world of supernatural mystery. A thought-provoking tale of love and justice."
s24,Movie,The Long Game Unleashed,Akira Kurosawa,"Priyanka Chopra, Natalie Portman, Amy Adams",Germany,"August 24, 2020",2006,NR,101 min,"Dramas, International Movies","Set against the vivid backdrop of war-torn Beirut, this critically acclaimed drama follows a exiled prince grappling with identity and an unrelenting search for freedom."
s25,Movie,Chain Reaction,Park Chan-wook,"Adam Driver, Cate Blanchett, Emma Stone",Nigeria,"March 23, 2022",2003,R,78 min,"Documentaries, International Movies",A journalist navigates the dangerous underbelly of small-town America in this gripping thriller where everything goes wrong and survival demands everything.
s26,Movie,Killing Time,Ava DuVernay,"Chris Pratt, Jennifer Lawrence, Shah Rukh Khan",Brazil,"September 24, 2023",2004,PG,132 min,"Horror Movies, International Movies",A exiled prince navigates the dangerous underbelly of rural France in this thought-provoking thriller where loyalties are tested and survival demands everything.
s27,Movie,The Summit,Guillermo del Toro,"Zendaya, Ryan Gosling, Jennifer Lawrence",Italy,"March 14, 2023",2019,G,93 min,"Horror Movies, International Movies",A unlikely hero navigates the dangerous underbelly of 1970s New York in this emotionally charged thriller where the stakes become personal and survival demands everything.
s28,Movie,The Forgotten Path : Rising,Kathryn Bigelow,"Daniel Kaluuya, Shah Rukh Khan, Charlize Theron",Mexico,"November 3, 2017",1991,PG,101 min,"Action & Adventure, International Movies","When a mysterious disappearance shakes the foundations of their life, a teacher in war-torn Beirut discovers that everything goes wrong. A visually stunning journey of redemption and courage."
s29,Movie,Second Chance,Sam Raimi,"Aamir Khan, Gemma Chan, Charlize Theron",Italy,"July 22, 2020",2002,TV-MA,79 min,"Faith & Spirituality, Dramas","Told across sweeping landscapes of Tokyo, this visually stunning saga tracks a con artist through loss, revenge, and an unexpected battle for justice."
s30,Movie,Vanishing Act,Kelly Reichardt,"Zazie Beetz, Deepika Padukone, Amy Adams",Mexico,"February 16, 2020",2013,R,151 min,"LGBTQ Movies, Dramas","Told across sweeping landscapes of a remote island, this thought-provoking saga tracks a con artist through loss, revenge, and an unexpected battle for their family."
s31,Movie,The Mechanic : Origins,Akira Kurosawa,"Emma Stone, Oscar Isaac, Joaquin Phoenix",Japan,"October 15, 2021",2014,G,113 min,"Sci-Fi & Fantasy, Action & Adventure","Told across sweeping landscapes of small-town America, this emotionally charged saga tracks a rookie cop through loss, loyalty, and an unexpected battle for their family."
s32,Movie,First Light,James Cameron,"Amitabh Bachchan, Natalie Portman, Lupita Nyong'o",Brazil,"December 8, 2020",2021,G,127 min,"Faith & Spirituality, Dramas","In the heart of a remote island, a rogue agent uncovers a dangerous secret that pulls them into a world of political intrigue. A visually stunning tale of revenge and love."
s33,Movie,The Negotiator : Origins,Alfonso Cuarón,"Emma Stone, Jun Ji-hyun, Daniel Kaluuya",France,"December 4, 2018",2010,NR,85 min,"Classic Movies, Comedies",A single father navigates the dangerous underbelly of futuristic Mumbai in this emotionally charged thriller where betrayal strikes from within and survival demands everything.
s34,Movie,Inner Circle : Origins,Ken Loach,"Lee Byung-hun, Ana de Armas, Brad Pitt",Nigeria,"March 18, 2019",1992,TV-MA,76 min,"Action & Adventure, Thrillers","Told across sweeping landscapes of war-torn Beirut, this thought-provoking saga tracks a single father through loss, justice, and an unexpected battle for their family."
s35,Movie,Echo Chamber,Werner Herzog,"Lupita Nyong'o, Viola Davis, Natalie Portman",United Kingdom,"July 3, 2020",1994,NR,143 min,"LGBTQ Movies, Dramas","When a devastating loss shakes the foundations of their life, a con artist in 1970s New York discovers that everything goes wrong. A critically acclaimed journey of revenge and sanity."
s36,Movie,The Open Road,Bong Joon-ho,"Morgan Freeman, Natalie Portman, Julianne Moore",Canada,"October 2, 2022",1996,NR,96 min,"Dramas, International Movies",A former soldier navigates the dangerous underbelly of Tokyo in this darkly comic thriller where the truth comes to light and survival demands everything.
s37,Movie,Broken Wings,Jean-Luc Godard,"Idris Elba, Deepika Padukone, Tilda Swinton",Turkey,"August 28, 2017",2004,NR,103 min,"Sci-Fi & Fantasy, Action & Adventure","A heart-wrenching story set in rural France, following a grieving mother whose life is upended by a catastrophic accident. When loyalties are tested, they must find the strength to fight for the truth."
s38,Movie,Code Red,Bong Joon-ho,"Gemma Chan, Leonardo DiCaprio, Florence Pugh",Australia,"December 15, 2019",2015,TV-MA,104 min,"Independent Movies, Dramas","When a sudden revelation shakes the foundations of their life, a single father in war-torn Beirut discovers that loyalties are tested. A gripping journey of betrayal and sanity."
s39,Movie,Truth or Dare,Agnès Varda,"Florence Pugh, Priyanka Chopra, Ana de Armas",United Kingdom,"March 2, 2020",2023,R,153 min,"Music & Musicals, Dramas",A rogue agent navigates the dangerous underbelly of 1970s New York in this visually stunning thriller where everything goes wrong and survival demands everything.
s40,Movie,The Comeback,James Cameron,"Anthony Mackie, Tom Hanks, Shah Rukh Khan",Nigeria,"September 13, 2017",2019,PG-13,81 min,"LGBTQ Movies, Dramas","After an unexpected reunion, a teacher in 1970s New York is forced to confront a shadowy organization and risk everything for justice. A gripping exploration of survival."
s41,Movie,Parallel Lives,Ken Loach,"Gemma Chan, Natalie Portman, Song Kang-ho",India,"March 18, 2019",2018,R,159 min,"Classic Movies, Dramas",A surgeon navigates the dangerous underbelly of Tokyo in this darkly comic thriller where old enemies resurface and survival demands everything.
s42,Movie,Collision Course,François Truffaut,"Tilda Swinton, Chris Pratt, Samuel L. Jackson",Turkey,"September 10, 2022",2007,R,123 min,Stand-Up Comedy,"Told across sweeping landscapes of rural France, this heart-wrenching saga tracks a surgeon through loss, identity, and an unexpected battle for the truth."
s43,Movie,The Negotiator,Martin Scorsese,"Steven Yeun, Lee Byung-hun, Awkwafina",Spain,"October 19, 2022",2021,R,89 min,"Anime Features, Action & Adventure",A rookie cop navigates the dangerous underbelly of the Arctic in this critically acclaimed thriller where old enemies resurface and survival demands everything.
s44,Movie,Beneath the Surface,Agnès Varda,"Jennifer Lawrence, Brad Pitt, John David Washington",United Kingdom,"July 26, 2020",1999,G,133 min,"Sports Movies, Dramas","When a sudden revelation shakes the foundations of their life, a rookie cop in a remote island discovers that betrayal strikes from within. A gripping journey of redemption and courage."
s45,Movie,Lost Signal,Ridley Scott,"Priyanka Chopra, Song Kang-ho, Lee Byung-hun",Germany,"July 23, 2022",1995,NR,112 min,"LGBTQ Movies, Dramas","Set against the vivid backdrop of small-town America, this heart-wrenching drama follows a detective grappling with survival and an unrelenting search for justice."
s46,Movie,The Glass House,Francis Ford Coppola,"Florence Pugh, Tilda Swinton, Natalie Portman",Canada,"December 6, 2019",1991,PG-13,75 min,"Documentaries, International Movies","When an unexpected reunion shakes the foundations of their life, a single father in rural France discovers that old enemies resurface. A pulse-pounding journey of redemption and sanity."
s47,Movie,Broken Compass Reborn,Barry Jenkins,"Aamir Khan, Awkwafina, Morgan Freeman",United Kingdom,"April 5, 2020",2006,PG-13,128 min,"Anime Features, Action & Adventure","In the heart of small-town America, a rogue agent uncovers a dangerous secret that pulls them into a world of crime. A emotionally charged tale of revenge and identity."
s48,Movie,The Forgotten Path Returns,Ryan Coogler,"Tom Hanks, Ali Wong, Aamir Khan",Italy,"October 13, 2019",2008,PG-13,159 min,"Classic Movies, Comedies","After an unexpected reunion, a detective in small-town America is forced to confront a dangerous enemy and risk everything for freedom. A thought-provoking exploration of identity."
s49,Movie,The Silent Hour,David Lynch,"Leonardo DiCaprio, Riz Ahmed, Saoirse Ronan",Australia,"December 22, 2023",1998,G,150 min,Documentaries,"After a mysterious disappearance, a scientist in war-torn Beirut is forced to confront an unstoppable force and risk everything for redemption. A visually stunning exploration of revenge."
s50,Movie,Rogue Wave Reborn,Christopher Nolan,"Tilda Swinton, Lee Byung-hun, Idris Elba",Nigeria,"March 27, 2019",2020,NR,107 min,"Sci-Fi & Fantasy, Thrillers",A exiled prince navigates the dangerous underbelly of 1970s New York in this visually stunning thriller where everything goes wrong and survival demands everything.
s51,Movie,The Reckoning Reborn,Ava DuVernay,"Dev Patel, Steven Yeun, Ryan Gosling",Turkey,"November 24, 2019",2014,PG-13,151 min,Stand-Up Comedy,"A thought-provoking story set in Los Angeles, following a young woman whose life is upended by a shocking murder. When betrayal strikes from within, they must find the strength to fight for the truth."
s52,Movie,Fractured Unleashed,Peter Jackson,"Riz Ahmed, Jun Ji-hyun, Park Bo-gum",India,"April 4, 2021",1998,R,119 min,"Documentaries, International Movies","In the heart of Los Angeles, a rebel leader uncovers a dangerous secret that pulls them into a world of supernatural mystery. A thought-provoking tale of revenge and identity."
s53,Movie,Cold Case,Ryan Coogler,"Samuel L. Jackson, Charlize Theron, Zendaya",United Kingdom,"June 28, 2017",2013,NR,139 min,"Sci-Fi & Fantasy, Thrillers","In the heart of small-town America, a young woman uncovers a dangerous secret that pulls them into a world of corporate greed. A gripping tale of loyalty and love."
s54,Movie,The Last Horizon,Jordan Peele,"Robert De Niro, Awkwafina, Joaquin Phoenix",Italy,"April 19, 2023",2004,PG,112 min,"Children & Family Movies, Comedies","A pulse-pounding story set in Tokyo, following a scientist whose life is upended by a mysterious disappearance. When loyalties are tested, they must find the strength to fight for freedom."
s55,Movie,The Long Road,Francis Ford Coppola,"Anthony Mackie, Riz Ahmed, Brad Pitt",Germany,"December 5, 2020",2023,NR,84 min,"Sports Movies, Dramas",A young woman navigates the dangerous underbelly of small-town America in this gripping thriller where the truth comes to light and survival demands everything.
s56,Movie,Under Pressure III,Kathryn Bigelow,"Amy Adams, Dev Patel, Priyanka Chopra",Mexico,"August 4, 2022",2018,G,79 min,"LGBTQ Movies, Dramas","Told across sweeping landscapes of the Arctic, this darkly comic saga tracks a exiled prince through loss, identity, and an unexpected battle for survival."
s57,Movie,Ghost Signal,Park Chan-wook,"Margot Robbie, Adam Driver, Park Bo-gum",United Kingdom,"November 21, 2023",2003,R,125 min,"Independent Movies, Dramas","Set against the vivid backdrop of the Arctic, this emotionally charged drama follows a journalist grappling with love and an unrelenting search for justice."
s58,Movie,Paper Tigers,François Truffaut,"Steven Yeun, Jennifer Lawrence, Shah Rukh Khan",United Kingdom,"December 4, 2022",2013,TV-MA,86 min,"Documentaries, International Movies",A rogue agent navigates the dangerous underbelly of 1970s New York in this gripping thriller where the truth comes to light and survival demands everything.
s59,Movie,Fractured,Ryan Coogler,"Ali Wong, Idris Elba, Florence Pugh",Nigeria,"April 16, 2023",1996,TV-MA,114 min,"LGBTQ Movies, Dramas","A gripping story set in small-town America, following a con artist whose life is upended by a mysterious disappearance. When everything goes wrong, they must find the strength to fight for the truth."
s60,Movie,Red Signal,Federico Fellini,"Emma Stone, Chris Pratt, Adam Driver",Germany,"March 6, 2021",2015,PG,78 min,"Independent Movies, Dramas","After a shocking murder, a former soldier in the Arctic is forced to confront their own demons and risk everything for justice. A emotionally charged exploration of love."
s61,Movie,The Intruder,Hirokazu Kore-eda,"Anthony Mackie, Charlize Theron, Oscar Isaac",Spain,"November 15, 2020",2021,R,147 min,"Horror Movies, Thrillers","After a mysterious disappearance, a unlikely hero in small-town America is forced to confront a ruthless crime lord and risk everything for justice. A thought-provoking exploration of identity."
s62,Movie,The Wanderer,Lynne Ramsay,"Florence Pugh, Julianne Moore, Robert De Niro",Spain,"March 7, 2023",2006,PG-13,107 min,"LGBTQ Movies, Dramas","Told across sweeping landscapes of modern Seoul, this visually stunning saga tracks a exiled prince through loss, betrayal, and an unexpected battle for their family."
s63,Movie,The Intruder,James Cameron,"Meryl Streep, Ryan Gosling, Morgan Freeman",Italy,"October 11, 2020",2015,NR,160 min,Stand-Up Comedy,"Set against the vivid backdrop of the Arctic, this heart-wrenching drama follows a teacher grappling with revenge and an unrelenting search for redemption."
s64,Movie,Cracked Mirror,Ken Loach,"Charlize Theron, Zazie Beetz, Anthony Mackie",South Korea,"May 28, 2022",2011,PG-13,98 min,"Action & Adventure, Comedies","Told across sweeping landscapes of the Arctic, this pulse-pounding saga tracks a rogue agent through loss, survival, and an unexpected battle for redemption."
s65,Movie,The Turning Point Uncut,David Lynch,"Aamir Khan, Ali Wong, Deepika Padukone",Brazil,"November 25, 2017",2001,R,150 min,Stand-Up Comedy,"A pulse-pounding story set in the Arctic, following a rogue agent whose life is upended by a devastating loss. When old enemies resurface, they must find the strength to fight for the truth."
s66,Movie,Storm Chaser,Barry Jenkins,"Denzel Washington, Deepika Padukone, Viola Davis",Mexico,"September 12, 2017",2009,R,129 min,Stand-Up Comedy,"When an unexpected reunion shakes the foundations of their life, a surgeon in 1970s New York discovers that the stakes become personal. A thought-provoking journey of loyalty and humanity."
s67,Movie,The Dark Meridian,Wes Anderson,"Leonardo DiCaprio, Natalie Portman, Song Kang-ho",Germany,"January 5, 2020",1996,NR,113 min,"Anime Features, Action & Adventure","A pulse-pounding story set in futuristic Mumbai, following a surgeon whose life is upended by a catastrophic accident. When old enemies resurface, they must find the strength to fight for survival."
s68,Movie,Hollow Ground,Steven Spielberg,"Michael Fassbender, Joaquin Phoenix, Park Bo-gum",Nigeria,"November 26, 2022",2011,PG-13,78 min,"Sci-Fi & Fantasy, Thrillers","In the heart of small-town America, a rookie cop uncovers a dangerous secret that pulls them into a world of supernatural mystery. A pulse-pounding tale of love and betrayal."
s69,Movie,Free Fall Unleashed,Bong Joon-ho,"Deepika Padukone, Shah Rukh Khan, Florence Pugh",Canada,"December 20, 2017",2009,R,141 min,"Comedies, Dramas","A emotionally charged story set in the Arctic, following a detective whose life is upended by a catastrophic accident. When old enemies resurface, they must find the strength to fight for freedom."
s70,Movie,Rogue Wave Uncut,Kathryn Bigelow,"Gemma Chan, Chris Pratt, Tilda Swinton",India,"February 10, 2021",2023,NR,74 min,"Children & Family Movies, Comedies","When a devastating loss shakes the foundations of their life, a grieving mother in small-town America discovers that everything goes wrong. A pulse-pounding journey of justice and identity."
s71,Movie,Edge of Tomorrow,Wong Kar-wai,"Samuel L. Jackson, Saoirse Ronan, Aamir Khan",Mexico,"December 10, 2023",2018,TV-MA,99 min,"Anime Features, Action & Adventure","Told across sweeping landscapes of war-torn Beirut, this darkly comic saga tracks a teacher through loss, revenge, and an unexpected battle for justice."
s72,Movie,The Dark Meridian : Legacy,David Lynch,"Anthony Mackie, Tilda Swinton, Florence Pugh",United Kingdom,"September 12, 2017",2023,PG-13,85 min,"Romantic Movies, Dramas","A visually stunning story set in a remote island, following a grieving mother whose life is upended by a shocking murder. When old enemies resurface, they must find the strength to fight for freedom."
s73,Movie,The Bitter End : Origins,David Fincher,"Michael Fassbender, Daniel Kaluuya, Amitabh Bachchan",Nigeria,"April 12, 2017",2010,NR,82 min,Documentaries,"When a shocking murder shakes the foundations of their life, a con artist in a remote island discovers that everything goes wrong. A thought-provoking journey of loyalty and humanity."
s74,Movie,Parallel Lives,Peter Jackson,"Priyanka Chopra, Dev Patel, Zendaya",United Kingdom,"February 14, 2023",2008,PG-13,100 min,"Horror Movies, Thrillers","When a catastrophic accident shakes the foundations of their life, a grieving mother in a remote island discovers that old enemies resurface. A gripping journey of survival and courage."
s75,Movie,Night Owl Unleashed,Ingmar Bergman,"Anthony Mackie, Steven Yeun, Meryl Streep",Spain,"March 14, 2022",1995,PG-13,137 min,"Music & Musicals, Dramas","Told across sweeping landscapes of 1970s New York, this visually stunning saga tracks a detective through loss, identity, and an unexpected battle for survival."
s76,Movie,The Operator,Pedro Almodóvar,"Julianne Moore, Gong Yoo, Aamir Khan",Germany,"December 19, 2023",2011,G,87 min,"Crime Movies, Thrillers","After a shocking murder, a teacher in rural France is forced to confront a ruthless crime lord and risk everything for freedom. A pulse-pounding exploration of betrayal."
s77,Movie,Shadow Play,Sofia Coppola,"Deepika Padukone, Jennifer Lawrence, Amy Adams",United Kingdom,"September 10, 2020",2020,G,102 min,"Comedies, Dramas","After a mysterious disappearance, a journalist in 1970s New York is forced to confront a shadowy organization and risk everything for the truth. A thought-provoking exploration of revenge."
s78,Movie,The Fugitive,Ridley Scott,"Brad Pitt, Viola Davis, Ryan Gosling",Brazil,"February 26, 2022",2017,R,80 min,"Classic Movies, Dramas","Set against the vivid backdrop of a remote island, this darkly comic drama follows a unlikely hero grappling with redemption and an unrelenting search for the truth."
s79,Movie,The Long Silence,Lynne Ramsay,"Aamir Khan, Morgan Freeman, Meryl Streep",India,"November 9, 2023",1993,NR,79 min,Stand-Up Comedy,"A gripping story set in a remote island, following a rebel leader whose life is upended by a mysterious disappearance. When the stakes become personal, they must find the strength to fight for their family."
s80,Movie,Fault Code Uncut,Kathryn Bigelow,"Zazie Beetz, Saoirse Ronan, Margot Robbie",Japan,"March 20, 2022",2018,PG-13,117 min,"Thrillers, International Movies","Told across sweeping landscapes of modern Seoul, this heart-wrenching saga tracks a unlikely hero through loss, loyalty, and an unexpected battle for justice."
s81,Movie,White Noise,Kathryn Bigelow,"Denzel Washington, John David Washington, Julianne Moore",Turkey,"December 9, 2020",2003,PG-13,148 min,"Crime Movies, Thrillers","Told across sweeping landscapes of Los Angeles, this visually stunning saga tracks a teacher through loss, love, and an unexpected battle for freedom."
s82,Movie,The Burning House II,Francis Ford Coppola,"Steven Yeun, Ali Wong, Saoirse Ronan",Germany,"September 12, 2018",1997,PG,95 min,"LGBTQ Movies, Dramas","Told across sweeping landscapes of small-town America, this heart-wrenching saga tracks a former soldier through loss, betrayal, and an unexpected battle for redemption."
s83,Movie,Burning Season,Darren Aronofsky,"Zazie Beetz, Oscar Isaac, Robert De Niro",Turkey,"October 14, 2017",1998,NR,110 min,"Action & Adventure, Comedies","In the heart of small-town America, a surgeon uncovers a dangerous secret that pulls them into a world of political intrigue. A pulse-pounding tale of redemption and revenge."
s84,Movie,Smoke and Mirrors : Legacy,Alfonso Cuarón,"Priyanka Chopra, Steven Yeun, Amy Adams",India,"June 6, 2022",2004,TV-MA,114 min,"Thrillers, International Movies","Told across sweeping landscapes of small-town America, this heart-wrenching saga tracks a unlikely hero through loss, redemption, and an unexpected battle for redemption."
s85,Movie,Unfinished Business Uncut,Peter Jackson,"Dev Patel, Priyanka Chopra, Meryl Streep",Germany,"January 19, 2023",1991,G,80 min,"Thrillers, International Movies","In the heart of war-torn Beirut, a surgeon uncovers a dangerous secret that pulls them into a world of crime. A emotionally charged tale of justice and survival."
s86,Movie,Snowfall,Yorgos Lanthimos,"Ryan Gosling, Park Bo-gum, Oscar Isaac",Spain,"July 15, 2020",2019,PG-13,96 min,Documentaries,"A heart-wrenching story set in the Arctic, following a con artist whose life is upended by a devastating loss. When the truth comes to light, they must find the strength to fight for freedom."
s87,Movie,The Verdict 2,Alfonso Cuarón,"Lee Byung-hun, Morgan Freeman, Ana de Armas",Canada,"May 2, 2020",2016,PG,101 min,"Anime Features, Action & Adventure","After a devastating loss, a teacher in war-torn Beirut is forced to confront a corrupt official and risk everything for freedom. A thought-provoking exploration of loyalty."
s88,Movie,Collision Course,James Wan,"Brad Pitt, Florence Pugh, Robert De Niro",Turkey,"January 2, 2019",2021,NR,146 min,"Sci-Fi & Fantasy, Action & Adventure","When a devastating loss shakes the foundations of their life, a exiled prince in the Arctic discovers that the truth comes to light. A darkly comic journey of love and sanity."
s89,Movie,Truth or Dare Uncut,Darren Aronofsky,"Dev Patel, Charlize Theron, Robert De Niro",United Kingdom,"February 10, 2020",2022,TV-MA,127 min,"Horror Movies, International Movies","A visually stunning story set in the Arctic, following a rogue agent whose life is upended by an unexpected reunion. When loyalties are tested, they must find the strength to fight for justice."
s90,Movie,Hidden Depths Unleashed,Kathryn Bigelow,"Ryan Gosling, Dev Patel, Morgan Freeman",Spain,"December 5, 2019",2020,R,136 min,Stand-Up Comedy,"Set against the vivid backdrop of war-torn Beirut, this visually stunning drama follows a exiled prince grappling with justice and an unrelenting search for survival."
s91,Movie,Unfinished Business Uncut,Werner Herzog,"Idris Elba, Park Bo-gum, Cate Blanchett",Mexico,"May 19, 2023",1991,R,146 min,"Music & Musicals, Dramas","Set against the vivid backdrop of futuristic Mumbai, this darkly comic drama follows a former soldier grappling with redemption and an unrelenting search for freedom."
s92,Movie,Beneath the Ice,Mike Leigh,"Daniel Kaluuya, Jun Ji-hyun, Park Bo-gum",United States,"July 11, 2018",2016,PG,158 min,"Crime Movies, Thrillers","After an unexpected reunion, a former soldier in futuristic Mumbai is forced to confront a corrupt official and risk everything for their family. A critically acclaimed exploration of love."
s93,Movie,The Grand Illusion : Legacy,François Truffaut,"Lupita Nyong'o, Idris Elba, Gong Yoo",France,"June 18, 2022",2006,R,148 min,"Crime Movies, Thrillers",A young woman navigates the dangerous underbelly of a remote island in this visually stunning thriller where the stakes become personal and survival demands everything.
s94,Movie,The Silent Hour,Yorgos Lanthimos,"Viola Davis, Oscar Isaac, John David Washington",Brazil,"July 18, 2020",2012,PG-13,88 min,"Sci-Fi & Fantasy, Action & Adventure",A exiled prince navigates the dangerous underbelly of a remote island in this critically acclaimed thriller where the stakes become personal and survival demands everything.
